"Submission Date","How often do you use Claude for work tasks?","What is your primary work type?","Do you use Claude for repeated or recurring work tasks?","How do you typically reuse prompts for repeated tasks?","How often do you have to re-explain the context or background for a repeated task?","How often do you feel like you're 'starting from zero' when repeating tasks with Claude?","Describe a recent example of a repeated task you used Claude for.","How frustrating is it to repeatedly re-explain context for recurring tasks?","Are you aware of or have you used Claude Skills (reusable workflows/templates)?","What are the main barriers to saving or templating your prompts in Claude?","Which of these would motivate you to convert recurring tasks into reusable Skills?","When would be the ideal moment for Claude to prompt you to save a Skill?","What are your top reasons for converting a task into a Skill?","Would you be willing to spend 5 minutes setting up a Skill if it saves you 2 minutes every time you run it?","How concerned are you that a saved Skill might perform worse than fresh prompting?","How would you feel if Claude proactively suggested saving a repeated task as a Skill?","Is there anything Claude should know about you or how you work before suggesting to save a task as a Skill?"
"Apr 20, 2026",Rarely,"Technical work (coding, data, IT)",Never,"Save prompts in an external document",3,4,"I rarely use it",5,"Yes, I have tried them","Worried about losing flexibility","Saves time in the long run","When I create a new prompt","Save time","Yes, definitely",3,"I would appreciate the suggestion",NA
"Apr 20, 2026",Rarely,"Knowledge work (writing, research, analysis)",Never,"Copy/paste from previous chats",1,1,"No task has performed as such",1,"No, I wasn't aware","Not sure how to set up a Skill","Saves time in the long run","After I've repeated a task several times","Save time
Reduce repetition","No, I prefer fresh prompts each time",1,"I would appreciate the suggestion","No at all"
"Apr 20, 2026","Several times a week","Technical work (coding, data, IT)","Yes, frequently","Manually retype prompts each time",3,3,"I do content writing and research work",4,"I've heard of them but never used","Takes too much time","Reduces errors and inconsistencies","When I create a new prompt","Save time","Yes, definitely",2,"It depends on timing and context","Yaa maybe"
"Apr 20, 2026",Daily,"Knowledge work (writing, research, analysis)","Yes, frequently","Copy/paste from previous chats
Manually retype prompts each time",3,3,"I was making a project on financial frauds and had to explain it to the Claude repeatedly.",4,"Yes, I use them regularly","Not aware of the feature
Takes too much time","Reduces errors and inconsistencies
Easier to manage and share","When I create a new prompt","Save time
Reduce repetition
Ensure consistency","Yes, definitely",2,"I would appreciate the suggestion",No.
"Apr 19, 2026","Several times a week",Administrative/Operational,"Yes, occasionally","Manually retype prompts each time",3,2,"For answering technical questions for any forms, using it for technical document analysis etc.",2,"I've heard of them but never used","Takes too much time","Reduces errors and inconsistencies","When I create a new prompt","Reduce repetition","Yes, definitely",3,"I would appreciate the suggestion","Yes there could be many things like that profession or purpose does it serve."
"Apr 19, 2026",Rarely,"Knowledge work (writing, research, analysis)","Yes, occasionally","Copy/paste from previous chats
Manually retype prompts each time",3,2,NA,4,"No, I wasn't aware","Not aware of the feature","Saves time in the long run
Reduces errors and inconsistencies
Makes my workflow smoother","After I've repeated a task several times","Save time
Reduce repetition
Ensure consistency","Yes, definitely",4,"I would find it annoying",NA
"Apr 19, 2026",Rarely,"Knowledge work (writing, research, analysis)",Rarely,"Manually retype prompts each time",1,1,"I never used it",1,"No, I wasn't aware","I don't repeat tasks often enough","Easier to manage and share","When I create a new prompt","Save time","Yes, definitely",3,"It depends on timing and context",No
"Apr 19, 2026",Weekly,"Knowledge work (writing, research, analysis)",Rarely,"Copy/paste from previous chats
Manually retype prompts each time",4,4,"For details",3,"I've heard of them but never used","Takes too much time","Makes my workflow smoother","When I finish a task","Ensure consistency","Maybe, depending on the task",4,"It depends on timing and context",Nope
"Apr 19, 2026",Rarely,"Technical work (coding, data, IT)",Never,"nothing, i use gpt",1,1,"nothing, i use gpt",5,"No, I wasn't aware","nothing, i use gpt","nothing, i use gpt","nothing, i use gpt","Reduce repetition","Yes, definitely",3,"I would find it annoying","nothing, i use gpt"
"Apr 19, 2026","Several times a week","Knowledge work (writing, research, analysis)","Yes, occasionally","Manually retype prompts each time",3,2,Coding,4,"I've heard of them but never used","I don't repeat tasks often enough","Reduces errors and inconsistencies","When I create a new prompt","Reduce repetition","Yes, definitely",3,"It depends on timing and context","Basic details about the task is enough"
